timestamp,longitude,latitude,phone_brand_en,gender,age_segment,location,height,spread,DBH,lean,District,Owner,ConstructionYear,Degree,Treetype,TreeID,SlopeID,FailType
8/2/2018,821529.0908,807456.8471,Dead tree-死樹,Poor,Poor,Cheung Chau Sportsground (Is-S),6,5,186,0,E,LCSD,Post 1977,30,Dead,TS003,SA6021,0
8/2/2018,821526.5772,807454.7966,Dead tree-死樹,Poor,Poor,Cheung Chau Sportsground (Is-S),5,3,120,30,E,LCSD,Post 1977,30,Dead,TS006,SA6021,0
8/2/2018,821528.5616,807455.2596,Dead tree-死樹,Poor,Poor,Cheung Chau Sportsground (Is-S),7,4,150,0,E,LCSD,Post 1977,30,Dead,TS004,SA6021,0
8/2/2018,821525.585,807453.606,Dead tree-死樹,Poor,Poor,Cheung Chau Sportsground (Is-S),5,3,125,30,E,LCSD,Post 1977,30,Dead,TS007,SA6021,0
8/2/2018,821527.1725,807456.1857,Dead tree-死樹,Poor,Poor,Cheung Chau Sportsground (Is-S),6,4,180,25,E,LCSD,Post 1977,30,Dead,TS005,SA6021,0
8/2/2018,821531.5382,807455.3919,Sterculia lanceolata-假蘋婆,Poor,Poor,Cheung Chau Sportsground (Is-S),9,4,190,0,E,LCSD,Post 1977,30,Dead,TS002,SA6021,0
8/2/2018,821525.9158,807457.3763,Dimocarpus longan-龍眼,Poor,Poor,Cheung Chau Sportsground (Is-S),8,7,350,0,E,LCSD,Post 1977,30,Dead,TS008,SA6021,0
8/2/2018,832841.145,815135.2249,Symplocos crassifolia-厚葉山礬,Poor,Poor,Victoria Peak Garden,6,2,110,0,"CP,ML&Wch",LCSD,Pre 1977,58,Dead,TS001,SA1565,0
8/2/2018,821539.9387,807454.2013,Dimocarpus longan-龍眼,Fair,Poor,Cheung Chau Sportsground (Is-S),8,6,342,0,E,LCSD,Post 1977,30,Dead,TS001,SA6021,0
3/5/2018,835754.8707,811777.4427,Dead tree-死樹,Poor,Poor,Aberdeen Police Training School,7,2,110,25,WS&L,HKPF,Pre 1977,58,Dead,TS137,SA2778,0
3/5/2018,835733.0426,811779.824,Dead tree-死樹,Poor,Poor,Aberdeen Police Training School,6,5,100,10,WS&L,HKPF,Pre 1977,58,Dead,TS072,SA2778,0
3/5/2018,835763.3374,811770.4974,Dead tree-死樹,Poor,Poor,Aberdeen Police Training School,6,3,140,0,WS&L,HKPF,Pre 1977,58,Dead,TS092,SA2778,0
8/7/2018,821250.2332,807703.844,Lagerstroemia speciosa-大花紫薇,Fair,Fair,Cheung Chau Sports Centre (Is-S),9,6,325,0,E,LCSD,Post 1977,30,Failure,TS001,SA2520,0
5/3/2019,835709.9924,813863.6239,Mallotus paniculatus-白楸,Poor,Fair,12-14 Middle Gap Road Government Quarters,9,3,210,5,"CP,ML&Wch",GPA,Pre 1977,40,Failure,TS003,SA2267,0
5/3/2019,835680.0005,813864.0234,Ficus hispida-對葉榕,Poor,Poor,12-14 Middle Gap Road Government Quarters,7,6,220,15,"CP,ML&Wch",GPA,Pre 1977,45,Dead,TS013,SA9103,0
5/3/2019,835650.1329,813860.0053,Dead tree-死樹,Poor,Poor,12-14 Middle Gap Road Government Quarters,12,5,250,0,"CP,ML&Wch",GPA,Pre 1977,50,Dead,TS004,SA2232,0
5/3/2019,835652.5803,813858.3517,Dead tree-死樹,Poor,Poor,12-14 Middle Gap Road Government Quarters,10,4,340,0,"CP,ML&Wch",GPA,Pre 1977,50,Dead,TS017,SA2232,0
5/3/2019,835665.412,813876.9194,Dead tree-死樹,Poor,Poor,12-14 Middle Gap Road Government Quarters,7,3,216,0,"CP,ML&Wch",GPA,Pre 1977,70,Dead,TS005,SA2238,0
5/3/2019,835647.1563,813857.6902,Dead tree-死樹,Poor,Poor,12-14 Middle Gap Road Government Quarters,7,3,100,0,"CP,ML&Wch",GPA,Pre 1977,50,Dead,TS002,SA2232,0
